"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"NID2","","ENSG00000087303","Nidogen 2","Q14112","14","52004803-52069228","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"placenta: 60.8","Cell type enhanced","Detected in many",NA,"Adipocytes: 26.0;Fibroblasts: 43.4;Microglial cells: 19.2;Smooth muscle cells: 23.2;Theca cells: 33.9;Thymic epithelial cells: 24.3","Cancer enhanced","Detected in all",NA,"thyroid cancer: 15.7","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"ovarian cancer: 57.2","Liver - Hepatic stellate cells, Prostate - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA052460, HPA058772","Enhanced","","Enhanced","Plasma membrane","Secreted to extracellular matrix",NA,NA,NA,6300000,"","Cluster 28: Placenta - Pregnancy","Cluster 59: Fibroblasts - Metabolism","Cluster 53: Connective tissue cells - ECM organization","Plasma membrane","","HPA052460: AB_2681840, HPA058772: AB_2683815","unprognostic (6.51e-2)","unprognostic (3.55e-3)","unprognostic (3.73e-2)","unprognostic (3.25e-2)","unprognostic (2.04e-1)","unprognostic (1.94e-1)","unprognostic (5.37e-2)","unprognostic (3.05e-3)","unprognostic (2.52e-3)","unprognostic (3.07e-2)","unprognostic (4.85e-2)","unprognostic (1.43e-1)","unprognostic (1.48e-3)","prognostic unfavorable (7.34e-4)","unprognostic (4.58e-2)","unprognostic (2.87e-2)","prognostic unfavorable (2.78e-4)",9,1,10,20,NA,0,0,NA,NA
"NPTX1","","ENSG00000171246","Neuronal pentraxin 1","Q15818","17","80466834-80477843","Predicted secreted proteins, Transporters","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",5,"brain: 107.8;intestine: 31.6","Cell type enhanced","Detected in some",NA,"Cone photoreceptor cells: 239.5;Excitatory neurons: 87.2;Horizontal cells: 34.6;Late spermatids: 44.5","Cancer enhanced","Detected in many",NA,"glioma: 4.8","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Rhabdoid: 32.4","Testis - Late spermatids","Low region specificity","Detected in all",NA,"","Group enriched","Detected in all",4,"amygdala: 55.3;cerebellum: 128.1;cerebral cortex: 102.2;hippocampal formation: 131.3","HPA077062","Enhanced","Approved","","","Secreted in brain",NA,NA,NA,1100000,"","Cluster 6: Brain - Smell perception","Cluster 41: Non-specific - Cilium assembly","Cluster 38: Neurons - Neuronal signaling","","","HPA077062: AB_2732329","unprognostic (2.37e-2)","unprognostic (1.18e-1)","unprognostic (1.81e-2)","unprognostic (6.95e-2)","unprognostic (4.16e-3)","unprognostic (2.43e-2)","unprognostic (1.48e-2)","unprognostic (3.63e-1)","unprognostic (1.31e-2)","unprognostic (2.07e-1)","unprognostic (1.81e-2)","unprognostic (9.63e-3)","unprognostic (1.05e-6)","unprognostic (1.41e-4)","unprognostic (1.35e-1)","unprognostic (8.86e-6)","unprognostic (2.71e-3)",7,2,7,16,NA,0,0,"Lung",NA
"PAPPA","ASBABP2, DIPLA1, IGFBP-4ase, PAPA, PAPP-A, PAPPA1","ENSG00000182752","Pappalysin 1","Q13219","9","116153791-116402321","Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins","","Hydrolase, Metalloprotease, Protease","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",8,"placenta: 72.3","Cell type enhanced","Detected in many",NA,"Basal squamous epithelial cells: 62.5;Collecting duct cells: 135.9;Endometrial stromal cells: 111.4;Horizontal cells: 59.0;Proximal tubular cells: 54.3;Thymic epithelial cells: 95.0","Low cancer specificity","Detected in some",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Rhabdoid: 32.6","Colon - Enteric glia cells","Low region specificity","Detected in single",NA,"","Low region specificity","Detected in many",NA,"","HPA001667, CAB016724","Enhanced","","","","Secreted in female reproductive system",NA,NA,NA,7.8e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 22: Rhabdoid cancers - Neuronal signaling","Cluster 52: Endometrial stromal cells - ECM organization","","","CAB016724: , HPA001667: AB_1854960","unprognostic (3.25e-1)","unprognostic (6.18e-6)","unprognostic (2.47e-1)","unprognostic (6.49e-2)","unprognostic (2.01e-2)","unprognostic (1.14e-1)","unprognostic (1.13e-1)","unprognostic (5.42e-3)","unprognostic (5.44e-2)","unprognostic (3.87e-2)","unprognostic (6.87e-3)","unprognostic (8.25e-2)","unprognostic (8.00e-3)","unprognostic (2.37e-3)","unprognostic (2.48e-1)","unprognostic (4.01e-1)","unprognostic (1.02e-3)",9,8,10,27,NA,0,1,"Nerve","Idiopathic.Pulmonary.Fibrosis"
"PDCD1LG2","B7-DC, bA574F11.2, Btdc, CD273, PD-L2, PDL2","ENSG00000197646","Programmed cell death 1 ligand 2","Q9BQ51","9","5510531-5571282","Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins","Adaptive immunity, Immunity","Receptor","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"lymphoid tissue: 15.1","Cell type enhanced","Detected in some",NA,"Extravillous trophoblasts: 21.9;Fibroblasts: 7.3;granulocytes: 12.6;Langerhans cells: 14.1;Leydig cells: 6.9;Microglial cells: 11.9","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in some",NA,"","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in many",NA,"","Breast - Fibroblasts, Kidney - Endothelial cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","HPA013411","Approved","","Uncertain","Cytosol","Secreted - unknown location",NA,NA,NA,3.1e+07,"Cluster 46: Basophils - DNA binding","Cluster 16: Immune cells - Immune response","Cluster 20: Connective tissue cells - ECM organization","Cluster 23: Langerhans cells - Immune response","Cytosol","","HPA013411: AB_1855102","unprognostic (3.93e-2)","unprognostic (1.90e-1)","unprognostic (3.51e-3)","unprognostic (6.68e-3)","unprognostic (7.66e-2)","unprognostic (6.77e-2)","unprognostic (5.72e-2)","unprognostic (2.91e-1)","unprognostic (1.68e-1)","unprognostic (4.37e-3)","unprognostic (5.79e-2)","unprognostic (5.29e-2)","prognostic unfavorable (1.15e-4)","unprognostic (5.00e-2)","unprognostic (4.66e-2)","unprognostic (2.01e-1)","unprognostic (7.51e-3)",12,11,9,32,"ENST00000397747",1,0,"Blood.Vessel",NA
"PLAT","","ENSG00000104368","Plasminogen activator, tissue type","P00750","8","42174718-42207709","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Plasminogen activation","Hydrolase, Protease, Serine protease","Cancer-related genes, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"parathyroid gland: 246.0;urinary bladder: 181.4","Cell type enhanced","Detected in many",NA,"Adipocytes: 76.2;Basal respiratory cells: 135.4;Breast glandular cells: 100.4;Endometrial stromal cells: 103.1;Endothelial cells: 98.4;Fibroblasts: 92.8;Granulosa cells: 85.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"skin cancer: 260.2","Kidney - Endothelial cells, Prostate - Urothelial cells, Testis - Sertoli cells, Thyroid - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA003412, CAB009335","Supported","","Approved","Actin filaments","Secreted to blood",NA,NA,9900000,110000,"Cluster 4: T-regs - Cell cycle regulation","Cluster 48: Parathyroid gland - membrane proteins","Cluster 20: Connective tissue cells - ECM organization","Cluster 66: Endothelial cells - Angiogenesis","Actin filaments","","CAB009335: AB_2237146, HPA003412: AB_1858205","prognostic favorable (7.57e-4)","unprognostic (2.23e-1)","unprognostic (4.08e-1)","unprognostic (3.39e-1)","unprognostic (4.88e-3)","unprognostic (9.39e-2)","unprognostic (4.65e-3)","unprognostic (5.78e-2)","unprognostic (1.55e-1)","unprognostic (1.75e-1)","unprognostic (2.98e-3)","unprognostic (2.46e-1)","prognostic unfavorable (4.95e-4)","unprognostic (8.72e-3)","unprognostic (1.37e-2)","unprognostic (2.63e-2)","unprognostic (6.09e-2)",9,0,9,18,"ENST00000352041; ENST00000519510",1,1,"Blood.Vessel; Muscle",NA
"PLAU","UPA, URK","ENSG00000122861","Plasminogen activator, urokinase","P00749","10","73909177-73917496","Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Blood coagulation, Fibrinolysis, Hemostasis, Plasminogen activation","Hydrolase, Protease, Serine protease","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"kidney: 103.8;urinary bladder: 128.5","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 215.4;Collecting duct cells: 90.6;Exocrine glandular cells: 124.9;Ionocytes: 131.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in some",9,"myeloid DC: 1.1;neutrophil: 2.1;plasmacytoid DC: 2.0","Group enriched","Detected in many",11,"dendritic cells: 2.0;granulocytes: 2.1","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","HPA070796","Supported","","Uncertain","Golgi apparatus,Vesicles","Secreted to blood",NA,NA,647000,88000,"Cluster 8: Neutrophils - Inflammatory response","Cluster 82: Adipose tissue - ECM organization","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 74: Pancreatic cells - Mixed function","Golgi apparatus, Vesicles","","HPA070796: ","unprognostic (1.96e-2)","unprognostic (2.99e-2)","unprognostic (7.40e-2)","prognostic favorable (3.38e-4)","unprognostic (4.73e-2)","prognostic unfavorable (2.70e-4)","unprognostic (1.39e-2)","prognostic unfavorable (4.04e-4)","unprognostic (2.26e-1)","unprognostic (6.58e-2)","prognostic unfavorable (1.32e-4)","unprognostic (1.61e-1)","prognostic unfavorable (3.51e-4)","unprognostic (2.83e-1)","unprognostic (3.37e-2)","unprognostic (1.51e-2)","unprognostic (1.77e-2)",7,3,8,18,NA,0,1,NA,NA
"PSG1","CD66f, PBG1, PSBG1, PSGGA","ENSG00000231924","Pregnancy specific beta-1-glycoprotein 1","P11464","19","42866464-42879822","CD markers, Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",161,"placenta: 259.7","Cell type enriched","Detected in some",92,"Syncytiotrophoblasts: 202.8","Cancer enhanced","Detected in single",NA,"thyroid cancer: 0.5","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"thyroid cancer: 166.9","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,7.5e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","","","","","unprognostic (2.02e-1)","unprognostic (3.54e-1)","","","","","","","unprognostic (2.44e-7)","","","unprognostic (2.28e-2)","",8,10,2,20,NA,1,0,NA,NA
"PSG2","CEA, PSBG2, PSG1, PSGGB","ENSG00000242221","Pregnancy specific beta-1-glycoprotein 2","P11465","19","43064209-43083045","Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Tissue enriched","Detected in some",204,"placenta: 238.5","Cell type enriched","Detected in some",23,"Syncytiotrophoblasts: 763.2","Not detected","Not detected",NA,"","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"breast cancer: 8.0;Sarcoma: 9.7;testis cancer: 9.4","","","",NA,"","","",NA,"","","","","","","Secreted in female reproductive system",NA,NA,NA,4.1e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","","","","","","","","","","","","","","","unprognostic (1.02e-2)","","","",0,12,0,12,NA,1,0,NA,NA
"PSG3","","ENSG00000221826","Pregnancy specific beta-1-glycoprotein 3","Q16557","19","42721638-42740481","Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Tissue enriched","Detected in single",199,"placenta: 141.5","Cell type enriched","Detected in some",81,"Syncytiotrophoblasts: 1431.2","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"Kidney cancer: 2.3;Rhabdoid: 2.8;thyroid cancer: 3.0","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,6.7e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 68: Kidney - Mixed function","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","","","","","","","","","","","","","","","","","",1,10,0,11,NA,0,0,NA,NA
"PSG4","","ENSG00000243137","Pregnancy specific beta-1-glycoprotein 4","Q00888","19","43192702-43207299","Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Group enriched","Detected in some",30,"parathyroid gland: 55.6;placenta: 143.4","Cell type enriched","Detected in some",41,"Syncytiotrophoblasts: 561.0","Low cancer specificity","Detected in some",NA,"","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,5.8e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","unprognostic (4.29e-2)","unprognostic (5.18e-2)","","unprognostic (9.49e-2)","","unprognostic (2.52e-2)","","unprognostic (3.63e-2)","unprognostic (1.94e-1)","unprognostic (2.07e-2)","unprognostic (1.70e-1)","unprognostic (7.75e-2)","unprognostic (8.82e-3)","unprognostic (1.03e-3)","unprognostic (1.68e-2)","unprognostic (2.85e-1)","unprognostic (2.57e-1)",6,11,6,23,"ENST00000244295; ENST00000451895; ENST00000597912; ENST00000601041",1,0,NA,NA
"PSG5","FL-NCA-3, PSG","ENSG00000204941","Pregnancy specific beta-1-glycoprotein 5","Q15238","19","43166256-43186536","Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",63,"placenta: 111.8","Cell type enriched","Detected in some",39,"Syncytiotrophoblasts: 702.8","Cancer enhanced","Detected in single",NA,"urothelial cancer: 0.5","Region enhanced","Detected in single",NA,"cerebellum: 1.7","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Pancreas - Ductal cells","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,2.2e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","unprognostic (1.59e-1)","unprognostic (3.38e-2)","","","","unprognostic (4.69e-2)","","unprognostic (1.62e-2)","unprognostic (2.18e-1)","unprognostic (2.04e-1)","unprognostic (1.75e-2)","","unprognostic (1.12e-2)","unprognostic (2.62e-2)","","unprognostic (1.03e-1)","unprognostic (7.92e-2)",9,12,9,30,"ENST00000342951; ENST00000366175",1,0,NA,NA
"PSG6","","ENSG00000170848","Pregnancy specific beta-1-glycoprotein 6","Q00889","19","42902086-42919563","Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Tissue enriched","Detected in some",35,"placenta: 49.4","Cell type enriched","Detected in some",120,"Syncytiotrophoblasts: 381.4","Not detected","Not detected",NA,"","Region enhanced","Detected in single",NA,"cerebellum: 1.4","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Group enriched","Detected in some",8,"Sarcoma: 10.7;testis cancer: 3.9","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,6.5e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","","","","","","unprognostic (4.23e-1)","","","","","","","","","","","",4,12,1,17,NA,1,0,NA,NA
"PSG7","","ENSG00000221878","Pregnancy specific beta-1-glycoprotein 7","Q13046","19","42924132-42937207","Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","","","Group enriched","Detected in some",4,"placenta: 4.1;skin 1: 1.2","Cell type enriched","Detected in some",75,"Syncytiotrophoblasts: 129.6","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enriched","Detected in some",4,"Rhabdoid: 6.3","Skin - Keratinocyte (granular)","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,NA,"","Cluster 28: Placenta - Pregnancy","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","","","","","","","","","","","","","","","","","",1,12,0,13,NA,1,0,NA,NA
"PSG8","","ENSG00000124467","Pregnancy specific beta-1-glycoprotein 8","Q9UQ74","19","42752686-42855691","Predicted intracellular proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Tissue enriched","Detected in single",24,"placenta: 6.5","Cell type enriched","Detected in some",11,"Syncytiotrophoblasts: 39.2","Cancer enriched","Detected in single",17,"thyroid cancer: 0.8","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"Gastric cancer: 2.8","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,5.5e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","","","","","","","","","","","","","","","","unprognostic (1.85e-2)","",3,9,1,13,NA,0,0,NA,NA
"PSG9","PSG11, PSGII","ENSG00000183668","Pregnancy specific beta-1-glycoprotein 9","Q00887","19","43211791-43269530","Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Tissue enriched","Detected in single",135,"placenta: 106.3","Cell type enriched","Detected in some",25,"Syncytiotrophoblasts: 222.5","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"breast cancer: 27.5;Rhabdoid: 25.3","","","",NA,"","","",NA,"","HPA046327","Supported","","","","Secreted in female reproductive system",NA,NA,NA,4.3e+07,"","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 67: Syncytiotrophoblasts - Pregnancy","","","HPA046327: AB_2679624","unprognostic (9.32e-2)","unprognostic (3.28e-1)","","","","unprognostic (2.15e-1)","","","","","","","","","","","",0,11,0,11,"ENST00000621109",1,0,NA,NA
"RELN","PRO1598, RL","ENSG00000189056","Reelin","P78509","7","103471381-103989658","Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Cell adhesion","Developmental protein, Hydrolase, Protease, Serine protease","Disease variant, Epilepsy, Lissencephaly","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",5,"brain: 64.4","Cell type enriched","Detected in many",4,"Inhibitory neurons: 364.2","Cancer enhanced","Detected in many",NA,"liver cancer: 5.7","Region enriched","Detected in many",10,"cerebellum: 64.4","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Kidney cancer: 17.6;liver cancer: 11.0;Myeloma: 10.7","Pancreas - Fibroblasts, Testis - Late spermatids","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"cerebellum: 110.0","HPA077891","","","Approved","Golgi apparatus,Vesicles","Secreted in brain",NA,NA,NA,3e+07,"","Cluster 69: Cerebellum - Gene expression regulation","Cluster 68: Kidney - Mixed function","Cluster 37: Neurons - Neuronal signaling","Golgi apparatus","Vesicles","HPA077891: ","unprognostic (1.42e-1)","unprognostic (2.93e-3)","unprognostic (4.31e-2)","unprognostic (1.29e-4)","unprognostic (1.30e-1)","unprognostic (6.95e-2)","unprognostic (1.85e-1)","unprognostic (8.35e-2)","unprognostic (1.54e-1)","unprognostic (1.48e-2)","unprognostic (3.31e-3)","unprognostic (3.86e-1)","unprognostic (2.02e-2)","unprognostic (1.43e-2)","unprognostic (3.03e-1)","unprognostic (1.35e-1)","unprognostic (3.06e-2)",7,0,5,12,NA,0,0,"Muscle",NA
"RSPO1","FLJ40906, RSPONDIN","ENSG00000169218","R-spondin 1","Q2MKA7","1","37611350-37634892","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Sensory transduction, Wnt signaling pathway","Heparin-binding","Palmoplantar keratoderma","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 28.9;endometrium 1: 41.4","Group enriched","Detected in some",4,"Breast glandular cells: 12.2;Breast myoepithelial cells: 18.1;Thymic epithelial cells: 33.7","Cancer enriched","Detected in some",13,"ovarian cancer: 11.8","Not detected","Not detected",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","Adipose visceral - Mesothelial cells","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in some",NA,"","HPA046154, HPA062923","Uncertain","","Approved","Vesicles","Secreted in female reproductive system",NA,NA,NA,NA,"","Cluster 89: Fibroblasts - ECM organization","Cluster 47: Retina - Visual perception","Cluster 73: Prostatic glandular cells - Transcription","Vesicles","","HPA046154: AB_10964912, HPA062923: ","unprognostic (1.50e-2)","unprognostic (1.97e-3)","unprognostic (5.99e-3)","unprognostic (2.22e-1)","unprognostic (1.76e-1)","unprognostic (3.75e-6)","","unprognostic (1.84e-2)","unprognostic (1.48e-1)","unprognostic (1.27e-1)","unprognostic (2.08e-1)","unprognostic (1.13e-2)","","unprognostic (1.93e-2)","unprognostic (3.76e-2)","unprognostic (3.21e-1)","unprognostic (1.53e-2)",7,6,7,20,NA,0,0,NA,NA
