Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
HLA-G,ENSG00000204632,"Major histocompatibility complex, class I, G",NA,8,4,0,12,0,0,NA,NA,"Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins",Immunity,,Cancer-related genes,Evidence at protein level,Group enriched,Detected in some,5,pituitary gland: 13.8;placenta: 11.1,Cell type enriched,Detected in many,21,Extravillous trophoblasts: 2193.5,Low cancer specificity,Detected in all,NA,,Not detected,Not detected,NA,,Low immune cell specificity,Detected in many,NA,,Low lineage specificity,Detected in many,NA,,Cancer enhanced,Detected in single,NA,lung cancer: 1.5,Testis - Late spermatids,,,NA,,,,NA,,CAB016158,Enhanced,,,,Secreted to blood,NA,NA,32800000,6.70E+07,Cluster 5: Granulocytes - Unknown function,Cluster 28: Placenta - Pregnancy,Cluster 46: Non-specific - Unknown function,Cluster 54: Extravillous trophoblasts - Unknown function,,,CAB016158: AB_627938
IGFBP3,ENSG00000146674,Insulin like growth factor binding protein 3,NA,6,0,6,12,1,1,Colon; Heart; Lung,Heart.Failure,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Apoptosis,Growth factor binding,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in all,NA,placenta: 1864.4,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 827.6;Club cells: 413.8;Extravillous trophoblasts: 2466.4;Ionocytes: 432.6,Cancer enhanced,Detected in all,NA,renal cancer: 377.7,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in many,5,plasmacytoid DC: 54.5,Lineage enriched,Detected in many,5,dendritic cells: 54.5,Cancer enhanced,Detected in all,NA,Kidney cancer: 3126.4,"Liver - Hepatic stellate cells, Testis - Endothelial cells",Low region specificity,Detected in all,NA,,,,NA,,CAB010360,,,Uncertain,Vesicles,Secreted to blood,NA,NA,3.25E+09,3.60E+09,Cluster 3: Plasmacytoid DCs - Unknown function,Cluster 86: Liver & Placenta - Transport via ER,Cluster 68: Kidney - Mixed function,Cluster 53: Connective tissue cells - ECM organization,Vesicles,,CAB010360: AB_2233528
PSG2,ENSG00000242221,Pregnancy specific beta-1-glycoprotein 2,NA,0,12,0,12,1,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enriched,Detected in some,204,placenta: 238.5,Cell type enriched,Detected in some,23,Syncytiotrophoblasts: 763.2,Not detected,Not detected,NA,,Low region specificity,Detected in single,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,breast cancer: 8.0;Sarcoma: 9.7;testis cancer: 9.4,,,,NA,,,,NA,,,,,,,Secreted in female reproductive system,NA,NA,NA,4.10E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,
RELN,ENSG00000189056,Reelin,NA,7,0,5,12,0,0,Muscle,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Cell adhesion,"Developmental protein, Hydrolase, Protease, Serine protease","Disease variant, Epilepsy, Lissencephaly",Evidence at protein level,Tissue enriched,Detected in some,5,brain: 64.4,Cell type enriched,Detected in many,4,Inhibitory neurons: 364.2,Cancer enhanced,Detected in many,NA,liver cancer: 5.7,Region enriched,Detected in many,10,cerebellum: 64.4,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Kidney cancer: 17.6;liver cancer: 11.0;Myeloma: 10.7,"Pancreas - Fibroblasts, Testis - Late spermatids",Low region specificity,Detected in all,NA,,Region enhanced,Detected in all,NA,cerebellum: 110.0,HPA077891,,,Approved,"Golgi apparatus,Vesicles",Secreted in brain,NA,NA,NA,3.00E+07,,Cluster 69: Cerebellum - Gene expression regulation,Cluster 68: Kidney - Mixed function,Cluster 37: Neurons - Neuronal signaling,Golgi apparatus,Vesicles,HPA077891: 
SPARC,ENSG00000113140,Secreted protein acidic and cysteine rich,ENST00000539687,0,0,12,12,1,0,NA,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Cancer-related genes, Disease variant, Osteogenesis imperfecta",Evidence at protein level,Tissue enhanced,Detected in all,NA,placenta: 2184.6,Cell type enhanced,Detected in many,NA,Adipocytes: 690.5;Endometrial stromal cells: 1211.8;Endothelial cells: 711.5;Fibroblasts: 1071.9;Peritubular cells: 1109.1;Schwann cells: 921.2;Sertoli cells: 1409.7;Smooth muscle cells: 1089.7;Theca cells: 924.5,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Group enriched,Detected in many,5,basophil: 10.4;classical monocyte: 8.7;neutrophil: 24.3,Group enriched,Detected in many,7,granulocytes: 24.3;monocytes: 8.7,Cancer enhanced,Detected in all,NA,Brain cancer: 2554.7;skin cancer: 2512.0,"Colon - Enteric glia cells, Prostate - Fibroblasts, Skin - Fibroblast_1",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB002306, HPA002989, HPA003020",Supported,,Approved,Vesicles,Secreted to blood,NA,NA,8300000,1.30E+08,Cluster 34: Basophils - Unknown function,Cluster 57: Non-specific - Angiogenesis,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Vesicles,,"CAB002306: AB_563919, HPA002989: AB_1079532, HPA003020: AB_1079531"
ANGPT1,ENSG00000154188,Angiopoietin 1,ENST00000520052,8,0,3,11,1,1,NA,NA,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins","Angiogenesis, Differentiation",Developmental protein,"Cancer-related genes, Disease variant",Evidence at protein level,Tissue enhanced,Detected in many,NA,seminal vesicle: 33.5,Cell type enhanced,Detected in many,NA,Astrocytes: 58.5;Fibroblasts: 30.0;Inhibitory neurons: 36.8;Serous glandular cells: 32.8;Smooth muscle cells: 51.4,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in some,5,neutrophil: 5.8,Lineage enriched,Detected in many,5,granulocytes: 5.8,Cancer enhanced,Detected in many,NA,Rhabdoid: 43.8,"Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Fibroblast_1",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB017815, HPA018793, HPA018816",Approved,,,,Secreted to blood,NA,NA,3.20E+07,110000,Cluster 1: Neutrophils - Mixed function,Cluster 82: Adipose tissue - ECM organization,Cluster 66: Myeloid cells - Innate immune response,Cluster 72: Smooth muscle cells - ECM organization,,,"CAB017815: , HPA018793: AB_1844820, HPA018816: AB_1844821"
COL4A5,ENSG00000188153,Collagen type IV alpha 5 chain,NA,2,0,9,11,0,0,NA,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",,,"Alport syndrome, Cancer-related genes, Deafness, Disease variant",Evidence at protein level,Tissue enhanced,Detected in many,NA,brain: 102.9,Cell type enriched,Detected in many,9,Oligodendrocytes: 673.9,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,testis cancer: 65.6,Adipose subcutaneous - Smooth muscle cells,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA077177,,,Approved,"Vesicles,Plasma membrane",Secreted to extracellular matrix,NA,NA,NA,NA,,Cluster 57: Non-specific - Angiogenesis,Cluster 60: Keratinocytes - Epithelial cell function,Cluster 8: Oligodendrocytes - Myelin sheath organization,Plasma membrane,Vesicles,HPA077177: 
GDF6,ENSG00000156466,Growth differentiation factor 6,NA,4,4,3,11,0,0,Adipose; Heart,NA,"Disease related genes, Human disease related genes, Predicted secreted proteins",Apoptosis,"Cytokine, Developmental protein, Growth factor","Deafness, Disease variant, Dwarfism, Leber congenital amaurosis, Microphthalmia, Non-syndromic deafness",Evidence at protein level,Tissue enhanced,Detected in some,NA,placenta: 10.9,Cell type enhanced,Detected in some,NA,Basal prostatic cells: 1.5;Cardiomyocytes: 2.4;Distal tubular cells: 3.1;Excitatory neurons: 1.6;Fibroblasts: 2.2;Oligodendrocyte precursor cells: 6.7;Pancreatic endocrine cells: 1.7;Spermatogonia: 2.2;Thymic epithelial cells: 2.8,Cancer enhanced,Detected in some,NA,renal cancer: 2.8;thyroid cancer: 2.3,Low region specificity,Detected in single,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,Bone cancer: 32.6;testis cancer: 15.9,"Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Thyroid - Fibroblasts",Not detected,Not detected,NA,,Region enriched,Detected in single,5,midbrain: 1.2,HPA045206,Uncertain,,Supported,"Nucleoplasm,Nuclear membrane,Vesicles",Secreted to blood,NA,NA,NA,NA,,Cluster 28: Placenta - Pregnancy,Cluster 14: Bone cancer - Transcription,Cluster 53: Connective tissue cells - ECM organization,Vesicles,"Nucleoplasm, Nuclear membrane",HPA045206: AB_10962508
IL12A,ENSG00000168811,Interleukin 12A,NA,5,5,1,11,0,0,NA,NA,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Host-virus interaction,"Cytokine, Growth factor",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in some,NA,esophagus: 4.1,Cell type enhanced,Detected in some,NA,Endometrial ciliated cells: 3.6;Oligodendrocyte precursor cells: 3.9;Plasma cells: 3.3;Respiratory ciliated cells: 2.9;Schwann cells: 4.0,Low cancer specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,Immune cell enhanced,Detected in single,NA,naive B-cell: 2.2,Low lineage specificity,Detected in single,NA,,Low cancer specificity,Detected in many,NA,,,Region enhanced,Detected in single,NA,cerebral cortex: 2.8,Not detected,Not detected,NA,,HPA001886,Uncertain,,,,Secreted to blood,NA,NA,NA,NA,Cluster 19: B-cells - Humoral immune response,Cluster 27: Brain & Skin - Unknown function,Cluster 20: Connective tissue cells - ECM organization,Cluster 32: Neurons - Synaptic function,,,HPA001886: AB_1079132
LAMC1,ENSG00000135862,Laminin subunit gamma 1,ENST00000478064; ENST00000479499,0,0,11,11,1,0,NA,NA,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cell adhesion,,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in all,NA,placenta: 231.7,Cell type enhanced,Detected in many,NA,Fibroblasts: 217.5,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,testis cancer: 459.0,,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA001908, HPA001909, CAB004486, CAB078163",Enhanced,,Approved,"Endoplasmic reticulum,Plasma membrane",Secreted to extracellular matrix,NA,NA,NA,1.00E+08,Cluster 37: B-cells - Transcription,Cluster 82: Adipose tissue - ECM organization,Cluster 59: Fibroblasts - Metabolism,Cluster 65: Fibroblasts - ECM organization,"Endoplasmic reticulum, Plasma membrane",,"CAB004486: AB_627870, CAB078163: AB_2665817, HPA001908: AB_1079229, HPA001909: AB_1079230"
PSG3,ENSG00000221826,Pregnancy specific beta-1-glycoprotein 3,NA,1,10,0,11,0,0,NA,NA,Predicted secreted proteins,,,,Evidence at protein level,Tissue enriched,Detected in single,199,placenta: 141.5,Cell type enriched,Detected in some,81,Syncytiotrophoblasts: 1431.2,Not detected,Not detected,NA,,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,Kidney cancer: 2.3;Rhabdoid: 2.8;thyroid cancer: 3.0,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,6.70E+07,,Cluster 28: Placenta - Pregnancy,Cluster 68: Kidney - Mixed function,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
PSG9,ENSG00000183668,Pregnancy specific beta-1-glycoprotein 9,ENST00000621109,0,11,0,11,1,0,NA,NA,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enriched,Detected in single,135,placenta: 106.3,Cell type enriched,Detected in some,25,Syncytiotrophoblasts: 222.5,Not detected,Not detected,NA,,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,breast cancer: 27.5;Rhabdoid: 25.3,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,4.30E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
SERPINE2,ENSG00000135919,Serpin family E member 2,ENST00000478966,2,0,9,11,0,1,NA,Idiopathic.Pulmonary.Fibrosis; Heart.Failure,"Plasma proteins, Predicted secreted proteins","Differentiation, Neurogenesis","Developmental protein, Heparin-binding, Protease inhibitor, Serine protease inhibitor",,Evidence at protein level,Tissue enriched,Detected in all,7,placenta: 1091.9,Cell type enriched,Detected in many,7,Granulosa cells: 4370.2,Cancer enriched,Detected in all,9,melanoma: 271.6,Low region specificity,Detected in all,NA,,Group enriched,Detected in some,12,naive CD4 T-cell: 12.9;naive CD8 T-cell: 6.8;NK-cell: 23.2,Group enriched,Detected in many,15,NK-cells: 23.2;T-cells: 12.9,Cancer enriched,Detected in all,5,skin cancer: 2476.4,Liver - Hepatic stellate cells,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA000277,,,Approved,Golgi apparatus,Secreted in female reproductive system,NA,NA,NA,910000,Cluster 48: NK-cells - Unknown function,Cluster 28: Placenta - Pregnancy,Cluster 33: Skin cancer - Membrane components,Cluster 17: Granulosa cells - Transcription regulation,Golgi apparatus,,HPA000277: 
TFPI2,ENSG00000105825,Tissue factor pathway inhibitor 2,NA,5,4,2,11,0,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins","Blood coagulation, Hemostasis","Protease inhibitor, Serine protease inhibitor",,Evidence at protein level,Tissue enriched,Detected in many,12,placenta: 954.6,Cell type enhanced,Detected in many,NA,Ductal cells: 1245.7;Glandular and luminal cells: 554.1;Pancreatic endocrine cells: 441.4;Syncytiotrophoblasts: 2047.0,Cancer enhanced,Detected in all,NA,renal cancer: 65.9,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,thyroid cancer: 892.8,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Mesothelial cells, Liver - Vascular Endothelial cells, Pancreas - Ductal cells",Not detected,Not detected,NA,,Region enhanced,Detected in all,NA,spinal cord: 29.7,"CAB010142, HPA049158, HPA070525",Enhanced,,,,Secreted to extracellular matrix,NA,NA,NA,51000,,Cluster 28: Placenta - Pregnancy,Cluster 37: Ovarian cancer RMG-I - Cellular stress response,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,"CAB010142: AB_628166, HPA049158: AB_2680659, HPA070525: "
THSD4,ENSG00000187720,Thrombospondin type 1 domain containing 4,NA,1,0,10,11,0,0,NA,NA,"Predicted membrane proteins, Predicted secreted proteins",,Hydrolase,,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 103.7,Cell type enhanced,Detected in many,NA,Basal squamous epithelial cells: 325.4;Microglial cells: 240.8;Squamous epithelial cells: 111.1,Cancer enhanced,Detected in many,NA,ovarian cancer: 18.1,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Testis - Peritubular cells, Thyroid - Thyroid glandular cells",Low region specificity,Detected in all,NA,,Region enriched,Detected in many,4,spinal cord: 39.0,,,,,,Secreted - unknown location,NA,NA,NA,NA,,Cluster 11: Squamous epithelial cells - Epithelial cell function,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 22: Squamous epithelial cells - Keratinization,,,
ADAMTS8,ENSG00000134917,ADAM metallopeptidase with thrombospondin type 1 motif 8,NA,7,0,3,10,0,0,Nerve,NA,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,"Heparin-binding, Hydrolase, Metalloprotease, Protease",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,lung: 27.6,Cell type enhanced,Detected in some,NA,Endometrial ciliated cells: 10.4;Endometrial stromal cells: 32.6;Fibroblasts: 18.6;Glandular and luminal cells: 27.3;Schwann cells: 9.7,Cancer enhanced,Detected in many,NA,endometrial cancer: 5.7,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in single,NA,cervical cancer: 2.5,,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,HPA066349,Approved,,,,Secreted to extracellular matrix,NA,NA,NA,3600000,,Cluster 19: Lung - Lung function,Cluster 20: Connective tissue cells - ECM organization,Cluster 14: Endometrium - Transcription regulation,,,HPA066349: AB_2685662
COL15A1,ENSG00000204291,Collagen type XV alpha 1 chain,NA,5,0,5,10,0,0,Muscle,Idiopathic.Pulmonary.Fibrosis,"Plasma proteins, Predicted secreted proteins","Angiogenesis, Cell adhesion, Differentiation",Developmental protein,,Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 229.2,Cell type enhanced,Detected in many,NA,Adipocytes: 297.0;Endothelial cells: 185.7;Fibroblasts: 165.0;Leydig cells: 330.9;Peritubular cells: 467.1;Theca cells: 317.4,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in some,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Sarcoma: 14.8;skin cancer: 17.3,"Adipose visceral - Endothelial cells, Colon - Smooth muscle cells, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_1, Testis - Peritubular cells",Low region specificity,Detected in many,NA,,Region enriched,Detected in many,7,spinal cord: 44.3,"HPA017913, HPA017915",Enhanced,,Approved,Endoplasmic reticulum,Secreted to extracellular matrix,NA,NA,NA,2.80E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Endoplasmic reticulum,,"HPA017913: AB_1847099, HPA017915: AB_1847100"
FBLN2,ENSG00000163520,Fibulin 2,NA,5,0,5,10,0,0,Heart; Muscle,Idiopathic.Pulmonary.Fibrosis,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,heart muscle: 292.8,Cell type enhanced,Detected in many,NA,Adipocytes: 88.4;Endometrial stromal cells: 85.2;Fibroblasts: 411.5;Leydig cells: 178.2;Peritubular cells: 218.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in some,NA,myeloid DC: 6.7;naive CD8 T-cell: 3.7,Low lineage specificity,Detected in many,NA,,Low cancer specificity,Detected in many,NA,,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2",Group enriched,Detected in many,4,olfactory bulb: 12.4;white matter: 3.1,Low region specificity,Detected in all,NA,,"HPA001934, CAB018622",Enhanced,,Supported,Plasma membrane,Secreted to extracellular matrix,NA,NA,NA,3.50E+07,Cluster 28: Myeloid DCs - Unknown function,Cluster 82: Adipose tissue - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Plasma membrane,,"CAB018622: AB_2294196, HPA001934: AB_1078827"
IL6,ENSG00000136244,Interleukin 6,NA,7,3,0,10,0,1,Brain,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Acute phase,"Cytokine, Growth factor","Cancer-related genes, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in many,NA,adipose tissue: 217.6;urinary bladder: 281.3,Cell type enhanced,Detected in many,NA,Adipocytes: 184.9;Endometrial ciliated cells: 142.3;Endothelial cells: 211.0;Glandular and luminal cells: 333.0;Smooth muscle cells: 283.8,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Group enriched,Detected in some,44,memory B-cell: 3.9;naive B-cell: 4.8,Lineage enriched,Detected in single,48,B-cells: 4.8,Cancer enhanced,Detected in many,NA,Kidney cancer: 233.7,Colon - Neutrophils,Not detected,Not detected,NA,,Low region specificity,Detected in many,NA,,"CAB023406, CAB072821",Supported,,Approved,Vesicles,Secreted to blood,NA,NA,5700,NA,Cluster 21: B-cells - Adaptive immune response,Cluster 82: Adipose tissue - ECM organization,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 72: Smooth muscle cells - ECM organization,Vesicles,,"CAB023406: AB_617317, CAB072821: "
LAMA1,ENSG00000101680,Laminin subunit alpha 1,ENST00000579014,2,2,6,10,0,0,NA,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cell adhesion,,,Evidence at protein level,Tissue enhanced,Detected in some,NA,testis: 5.9,Group enriched,Detected in many,4,Astrocytes: 87.9;Distal enterocytes: 132.4;Granulosa cells: 75.6;Intestinal goblet cells: 40.1;Paneth cells: 38.9;Proximal enterocytes: 45.1,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,skin cancer: 36.7,"Skin - Eccrine sweat gland cells, Testis - Sertoli cells",Low region specificity,Detected in single,NA,,Low region specificity,Detected in many,NA,,CAB010179,Enhanced,,,,Secreted to extracellular matrix,NA,NA,NA,NA,,Cluster 43: Testis - Unknown function,Cluster 16: Skin cancer - Melanocyte processes,Cluster 50: Enterocytes - Absorption,,,CAB010179: AB_2133741
WFDC1,ENSG00000103175,WAP four-disulfide core domain 1,NA,5,0,5,10,0,0,NA,NA,Predicted secreted proteins,,"Protease inhibitor, Serine protease inhibitor",,Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 99.8;seminal vesicle: 115.1,Group enriched,Detected in many,4,Bipolar cells: 92.8;Peritubular cells: 261.3;Smooth muscle cells: 103.1;Theca cells: 302.6,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,cervical cancer: 19.1;skin cancer: 64.0,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Stomach - Fibroblasts, Testis - Peritubular cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA031411,Uncertain,,,,Secreted to extracellular matrix,NA,NA,NA,NA,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,,,HPA031411: AB_10600921
